PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;57;6;28079057_6_48;2019;11;26;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.4;V;000.4;V;000.3;V;000.3;V;000.4;V;000.4;V;000.4;V;000.4;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;00000;N;00000;N;00000;N
28;079;57;7;28079057_7_8;2019;11;26;00003;V;00002;V;00002;V;00001;V;00001;V;00001;V;00004;V;00025;V;00024;V;00013;V;00013;V;00010;V;00017;V;00017;V;00016;V;00015;V;00015;V;00011;V;00009;V;00007;V;00009;V;00000;N;00000;N;00000;N
28;079;57;8;28079057_8_8;2019;11;26;00020;V;00016;V;00016;V;00011;V;00010;V;00011;V;00023;V;00039;V;00048;V;00055;V;00051;V;00047;V;00055;V;00053;V;00049;V;00046;V;00048;V;00041;V;00038;V;00043;V;00045;V;00000;N;00000;N;00000;N
28;079;57;10;28079057_10_47;2019;11;26;00004;V;00001;V;00007;V;00003;V;00005;V;00002;V;00004;V;00006;V;00012;V;00009;V;00011;V;00007;V;00007;V;00007;V;00005;V;00009;V;00007;V;00007;V;00004;V;00008;V;00013;V;00000;N;00000;N;00000;N
28;079;57;12;28079057_12_8;2019;11;26;00024;V;00019;V;00019;V;00012;V;00011;V;00013;V;00029;V;00077;V;00085;V;00075;V;00070;V;00063;V;00081;V;00078;V;00073;V;00069;V;00070;V;00058;V;00052;V;00054;V;00059;V;00000;N;00000;N;00000;N
28;079;58;7;28079058_7_8;2019;11;26;00001;V;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00006;V;00009;V;00003;V;00003;V;00005;V;00010;V;00011;V;00012;V;00009;V;00001;V;00001;V;00001;V;00001;V;00001;V;00000;N;00000;N;00000;N
28;079;58;8;28079058_8_8;2019;11;26;00007;V;00008;V;00009;V;00006;V;00005;V;00006;V;00010;V;00018;V;00024;V;00014;V;00012;V;00019;V;00023;V;00028;V;00028;V;00026;V;00009;V;00008;V;00010;V;00020;V;00015;V;00000;N;00000;N;00000;N
28;079;58;12;28079058_12_8;2019;11;26;00009;V;00010;V;00011;V;00007;V;00007;V;00008;V;00014;V;00027;V;00038;V;00018;V;00017;V;00027;V;00039;V;00046;V;00046;V;00039;V;00011;V;00010;V;00011;V;00022;V;00017;V;00000;N;00000;N;00000;N
28;079;58;14;28079058_14_6;2019;11;26;40.45;V;26.27;V;19.90;V;25.93;V;23.75;V;21.36;V;16.28;V;12.57;V;06.02;V;15.36;V;20.13;V;15.38;V;09.99;V;09.06;V;08.30;V;12.59;V;45.88;V;47.35;V;44.41;V;33.09;V;35.87;V;00000;N;00000;N;00000;N
28;079;59;7;28079059_7_8;2019;11;26;00001;V;00001;V;00001;V;00001;V;00001;V;00002;V;00008;V;00006;V;00005;V;00028;V;00033;V;00009;V;00006;V;00007;V;00006;V;00007;V;00006;V;00003;V;00002;V;00002;V;00001;V;00000;N;00000;N;00000;N
28;079;59;8;28079059_8_8;2019;11;26;00018;V;00011;V;00013;V;00008;V;00007;V;00012;V;00035;V;00032;V;00048;V;00050;V;00049;V;00041;V;00041;V;00037;V;00037;V;00038;V;00040;V;00032;V;00037;V;00035;V;00028;V;00000;N;00000;N;00000;N
28;079;59;12;28079059_12_8;2019;11;26;00020;V;00012;V;00014;V;00010;V;00009;V;00016;V;00046;V;00042;V;00056;V;00094;V;00099;V;00054;V;00051;V;00048;V;00046;V;00049;V;00048;V;00037;V;00041;V;00038;V;00030;V;00000;N;00000;N;00000;N
28;079;59;14;28079059_14_6;2019;11;26;33.13;V;39.12;V;37.71;V;43.00;V;46.17;V;41.93;V;04.15;V;05.70;V;17.82;V;05.79;V;02.85;V;17.01;V;20.12;V;24.29;V;23.13;V;21.98;V;20.74;V;25.64;V;20.84;V;20.21;V;23.18;V;00000;N;00000;N;00000;N
28;079;60;7;28079060_7_8;2019;11;26;00002;V;00001;V;00002;V;00001;V;00002;V;00001;V;00002;V;00014;V;00008;V;00010;V;00009;V;00006;V;00009;V;00010;V;00009;N;00009;V;00006;V;00007;V;00005;V;00005;V;00005;V;00000;N;00000;N;00000;N
28;079;60;8;28079060_8_8;2019;11;26;00010;V;00009;V;00005;V;00005;V;00005;V;00005;V;00011;V;00032;V;00031;V;00036;V;00031;V;00022;V;00030;V;00034;V;00021;N;00018;V;00014;V;00013;V;00016;V;00017;V;00018;V;00000;N;00000;N;00000;N
28;079;60;10;28079060_10_47;2019;11;26;00004;V;00001;V;00009;V;00001;V;00003;V;00001;V;00002;V;00005;V;00006;V;00007;V;00006;V;00002;V;00005;V;00005;V;00003;V;00002;V;00003;V;00002;V;00001;V;00003;V;00005;V;00000;N;00000;N;00000;N
28;079;60;12;28079060_12_8;2019;11;26;00013;V;00012;V;00007;V;00007;V;00008;V;00007;V;00015;V;00053;V;00043;V;00051;V;00045;V;00030;V;00044;V;00050;V;00035;N;00032;V;00024;V;00024;V;00024;V;00025;V;00025;V;00000;N;00000;N;00000;N
28;079;60;14;28079060_14_6;2019;11;26;40.92;V;41.44;V;47.01;V;42.67;V;40.70;V;43.17;V;35.40;V;17.49;V;27.33;V;22.30;V;28.12;V;40.12;V;38.93;N;22.54;N;24.88;V;27.17;V;33.00;V;34.27;V;28.44;V;25.74;V;22.24;V;00000;N;00000;N;00000;N
